gene_a	gene_b	weight	source
AT1G65480	AT5G10140	1.0000	canonical_ppi
AT4G00650	AT5G10140	1.0000	canonical_ppi
AT1G65480	AT4G20370	1.0000	canonical_ppi
AT5G45250	AT5G45260	1.0000	canonical_ppi
AT3G54220	AT3G54810	1.0000	canonical_ppi
AT5G41315	AT5G66320	1.0000	canonical_ppi
AT5G24520	AT5G66320	1.0000	canonical_ppi
AT5G24520	AT5G41315	1.0000	canonical_ppi
AT2G18790	AT2G43010	1.0000	canonical_ppi
AT4G33430	AT4G39400	1.0000	canonical_ppi
AT3G24650	AT5G45830	1.0000	canonical_ppi
AT4G03060	AT5G23010	1.0000	canonical_ppi
