gene_a	gene_b	weight	source
A1BG	FASN	0.6410	billmann_qgi
A1BG	FANCG	0.3240	billmann_qgi
A1BG	FASN	0.4880	billmann_qgi
A1BG	NAA35	0.6660	billmann_qgi
A1CF	CDK5	0.3890	billmann_qgi
A1CF	RHOA	0.4080	billmann_qgi
A1CF	TAPT1	0.6450	billmann_qgi
A1CF	PTAR1	0.4880	billmann_qgi
A2ML1	C12orf49	0.4490	billmann_qgi
A2ML1	VPS52	0.3520	billmann_qgi
A2M	BMPR1A	0.5170	billmann_qgi
A2M	SIN3A	0.4480	billmann_qgi
A2M	PDCD5	0.4120	billmann_qgi
A3GALT2	GFPT1	0.4660	billmann_qgi
A3GALT2	NF2	0.4070	billmann_qgi
A3GALT2	SIN3A	0.5200	billmann_qgi
A4GALT	PC	0.3540	billmann_qgi
A4GALT	USP14	0.4260	billmann_qgi
A4GNT	POLR2A	0.3880	billmann_qgi
A4GNT	SLC3A2	0.4310	billmann_qgi
AAAS	APOB	0.4730	billmann_qgi
AAAS	EXO1	0.6200	billmann_qgi
AAAS	PGLS	0.4910	billmann_qgi
AAAS	ATG9A	0.4620	billmann_qgi
AAAS	FASN	0.4200	billmann_qgi
AACS	EHMT2	0.3920	billmann_qgi
AACS	VDAC1	0.4460	billmann_qgi
AACS	NAA35	0.3590	billmann_qgi
AADACL2	PBRM1	0.4060	billmann_qgi
AADACL2	FASN	0.3060	billmann_qgi
AADACL3	FASN	0.3640	billmann_qgi
AADACL3	HDAC3	0.4490	billmann_qgi
AADACL3	NAA35	0.6950	billmann_qgi
AADACL3	WASL	0.5270	billmann_qgi
AADACL4	PDCD5	0.4660	billmann_qgi
AADACL4	PPOX	0.3430	billmann_qgi
AADACL4	NGLY1	0.3450	billmann_qgi
AADACL4	PDCD5	0.3410	billmann_qgi
AADACL4	VPS52	0.3080	billmann_qgi
AADAC	ALG12	0.3360	billmann_qgi
AADAC	PQLC1	0.4110	billmann_qgi
AADAC	USP15	0.3840	billmann_qgi
AADAT	ALG9	0.3480	billmann_qgi
AADAT	LAMTOR4	0.3620	billmann_qgi
AAED1	ANTXR1	0.4180	billmann_qgi
AAED1	KIAA0196	0.4030	billmann_qgi
AAED1	MGAT1	0.3330	billmann_qgi
AAED1	KIAA0100	0.5550	billmann_qgi
AAGAB	FLCN	0.4620	billmann_qgi
AAGAB	GGT7	0.3550	billmann_qgi
AAGAB	RHOA	0.4110	billmann_qgi
AAGAB	SLC35A1	0.4130	billmann_qgi
AAGAB	FASN	0.5910	billmann_qgi
AAGAB	POLR2A	0.3740	billmann_qgi
AAGAB	PTAR1	0.5330	billmann_qgi
AAGAB	TSC22D2	0.3790	billmann_qgi
AAK1	APOB	0.3500	billmann_qgi
AAK1	DDX11	0.4950	billmann_qgi
AAK1	POLR2A	0.3310	billmann_qgi
AAK1	STAG2	0.4640	billmann_qgi
AAK1	STX4	0.4340	billmann_qgi
AAK1	VDAC1	0.4700	billmann_qgi
AAK1	VPS52	0.3120	billmann_qgi
AAMDC	MGAT1	0.4050	billmann_qgi
AAMDC	FASN	0.3940	billmann_qgi
AAMP	BCL2	0.3420	billmann_qgi
AAMP	MGAT1	0.3370	billmann_qgi
AAMP	SP1	0.4340	billmann_qgi
AAMP	TMEM126A	0.3080	billmann_qgi
AAMP	PELO	0.3990	billmann_qgi
AANAT	ATP5J	0.4230	billmann_qgi
AANAT	FASTKD3	0.4740	billmann_qgi
AANAT	NAA30	0.4480	billmann_qgi
AAR2	BLM	0.4500	billmann_qgi
AAR2	DNAJA1	1.0000	billmann_qgi
AAR2	EXO1	0.3770	billmann_qgi
AAR2	HDAC3	0.5310	billmann_qgi
AAR2	MGAT1	0.3090	billmann_qgi
