gene_a	gene_b	weight	source
LOC_Os06g06320	LOC_Os06g16370	1.0000	canonical_ppi
LOC_Os06g16370	LOC_Os07g15770	1.0000	canonical_ppi
LOC_Os06g16370	LOC_Os08g07740	1.0000	canonical_ppi
LOC_Os07g15770	LOC_Os08g07740	1.0000	canonical_ppi
LOC_Os06g06320	LOC_Os10g32600	1.0000	canonical_ppi
LOC_Os06g06300	LOC_Os10g32600	1.0000	canonical_ppi
LOC_Os07g41200	LOC_Os08g41940	1.0000	canonical_ppi
LOC_Os01g66030	LOC_Os03g44500	1.0000	canonical_ppi
LOC_Os03g44500	LOC_Os08g39890	1.0000	canonical_ppi
LOC_Os11g46200	LOC_Os11g46210	1.0000	canonical_ppi
LOC_Os11g11770	LOC_Os11g11790	1.0000	canonical_ppi
LOC_Os01g11410	LOC_Os03g49880	1.0000	canonical_ppi
LOC_Os09g11460	LOC_Os09g11480	1.0000	canonical_ppi
