gene_a	gene_b	weight	source
YIL033C	YJL164C	1.0000	canonical_ppi
YIL033C	YPL203W	1.0000	canonical_ppi
YIL033C	YKL166C	1.0000	canonical_ppi
YJL164C	YPL203W	1.0000	canonical_ppi
YJL164C	YKL166C	1.0000	canonical_ppi
YKL166C	YPL203W	1.0000	canonical_ppi
YAL040C	YOR083W	1.0000	canonical_ppi
YNL083W	YOR330C	1.0000	canonical_ppi
YGR043C	YPR074C	1.0000	canonical_ppi
YHR005C	YNL085W	1.0000	canonical_ppi
YGL073W	YNL085W	1.0000	canonical_ppi
YBL016W	YGR040W	1.0000	canonical_ppi
YJL187C	YKL101W	1.0000	canonical_ppi
YBR136W	YDR217C	1.0000	canonical_ppi
YJL173C	YML032C	1.0000	canonical_ppi
YDR028C	YDR477W	1.0000	canonical_ppi
