method	parameter	value	rank_1_rate	n_eval
hbp	alpha	0.4	0.7	10
hbp	alpha	0.5	0.7	10
hbp	alpha	0.6	0.7	10
hbp	alpha	0.7	0.7	10
hbp	alpha	0.8	0.7	10
hbp	damping	0.3	0.7	10
hbp	damping	0.4	0.7	10
hbp	damping	0.5	0.7	10
hbp	damping	0.6	0.7	10
hbp	damping	0.7	0.7	10
hbp	n_rounds	3	0.7	10
hbp	n_rounds	4	0.7	10
hbp	n_rounds	5	0.7	10
hbp	n_rounds	6	0.7	10
hbp	n_rounds	7	0.7	10
hbp	r2_smooth	0.2	0.7	10
hbp	r2_smooth	0.25	0.7	10
hbp	r2_smooth	0.3	0.7	10
hbp	r2_smooth	0.35	0.6	10
hbp	r2_smooth	0.4	0.7	10
gafm	alpha	0.3	0.0	10
gafm	alpha	0.4	0.0	10
gafm	alpha	0.5	0.1	10
gafm	alpha	0.6	0.5	10
gafm	alpha	0.7	0.6	10
gafm	r2_smooth	0.2	0.0	10
gafm	r2_smooth	0.25	0.1	10
gafm	r2_smooth	0.3	0.1	10
gafm	r2_smooth	0.35	0.1	10
gafm	r2_smooth	0.4	0.1	10
